0	98437	197
1	63682	255
2	47737	288
3	41479	334
4	39429	398
5	35068	425
6	33582	476
7	33457	544
8	31604	579
9	30215	616
10	29333	659
11	29223	718
12	29252	780
13	28933	833
14	28237	873
15	27561	911
16	27272	959
17	28236	1054
18	27779	1097
19	27106	1129
20	26431	1158
21	26604	1224
22	27158	1309
23	27911	1407
24	27992	1473
25	28408	1558
26	27839	1589
27	27744	1645
28	27246	1677
29	27264	1740
30	27709	1831
31	27466	1878
32	27701	1957
33	27583	2012
34	27474	2068
35	27343	2121
36	27024	2159
37	26873	2210
38	26736	2261
39	26426	2297
40	26178	2338
41	26049	2388
42	26067	2452
43	25962	2505
44	25819	2553
45	25825	2616
46	25492	2644
47	25303	2687
48	25229	2741
49	24957	2773
50	24729	2808
51	24500	2843
52	24461	2900
53	24222	2932
54	23982	2964
55	23848	3007
56	23818	3064
57	23775	3119
58	23736	3175
59	23664	3226
60	23508	3266
61	23389	3310
62	23355	3367
63	23329	3424
64	23234	3471
65	23088	3511
66	22907	3544
67	22742	3579
68	22724	3637
69	22756	3704
70	22768	3768
71	22591	3800
72	22464	3840
73	22450	3899
74	22357	3945
75	22201	3979
76	22022	4008
77	21908	4049
78	21853	4100
79	21820	4156
80	21768	4208
81	21732	4263
82	21652	4309
83	21607	4363
84	21440	4391
85	21294	4423
86	21290	4484
87	21118	4510
88	21099	4569
89	21064	4623
90	21029	4679
91	21005	4736
92	20860	4766
93	20709	4794
94	20599	4831
95	20431	4855
96	20321	4891
97	20175	4918
98	20139	4971
99	19983	4995
100	19861	5027
101	19829	5081
102	19684	5107
103	19642	5158
104	19624	5216
105	19605	5274
106	19489	5306
107	19355	5332
108	19337	5390
109	19221	5421
110	19097	5449
111	19027	5492
112	19095	5575
113	19095	5639
114	19073	5697
115	18966	5729
116	18901	5774
117	18879	5831
118	18866	5892
119	18871	5959
120	18858	6020
121	18869	6090
122	18764	6121
123	18678	6159
124	18585	6195
125	18564	6254
126	18535	6310
127	18493	6363
128	18480	6425
129	18394	6462
130	18343	6512
131	18292	6561
132	18179	6588
133	18167	6651
134	18108	6697
135	18017	6731
136	17927	6766
137	17872	6813
138	17772	6843
139	17672	6872
140	17624	6922
141	17585	6975
142	17559	18446744048489318	18446744070270428
60	18446744049332422	18446744070322296
61	18446744050138308	18446744070372982
62	18446744050923826	18446744070424652
63	18446744051666315	18446744070473847
64	18446744052354658	18446744070518590
65	18446744053064168	18446744070569931
66	18446744053738331	18446744070619316
67	18446744054402020	18446744070670403
68	18446744055027600	18446744070718705
69	18446744055656758	18446744070770724
70	18446744056255985	18446744070820966
71	18446744056834220	18446744070870710
72	18446744057420410	18446744070924756
73	18446744057977030	18446744070976672
74	18446744058519587	18446744071028969
75	18446744059021830	18446744071076846
76	18446744059499906	18446744071122925
77	18446744060015897	18446744071178497
78	18446744060519405	18446744071234441
79	18446744061006053	18446744071289837
80	18446744061476009	18446744071344594
81	18446744061910025	18446744071394812
82	18446744062313026	18446744071441178
83	18446744062766631	18446744071499923
84	18446744063200488	18446744071557092
85	18446744063594205	18446744071608296
86	18446744063974722	18446744071658873
87	18446744064328622	18446744071705858
88	18446744064715331	18446744071761898
89	18446744065079255	18446744071815096
90	18446744065432021	18446744071867851
91	18446744065752374	18446744071915286
92	18446744066093781	18446744071969338
93	18446744066396183	18446744072016308
94	18446744066721735	18446744072070434
95	18446744067031071	18446744072122586
96	18446744067336597	18446744072175614
97	18446744067611523	18446744072222967
98	18446744067872976	18446744072268601
99	18446744068144503	18446744072318289
